symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:GP,GP,GRAMEENPHONE LTD,426289741898.0,315.0,-0.22172949002216935,8178.0,0.0434094866024035,14.444571821621002,21.8075,10.4529616724739,Communications
DSEBD:SQURPHARMA,SQURPHARMA,SQUARE PHARMACEUTICALS PLC,203529152432.0,227.5,-0.9146341463414609,23059.0,0.030787495782557673,8.580404995115769,26.5139,4.79094076655052,Health technology
DSEBD:BATBC,BATBC,BRITISH AMERICAN TOBACCO BANGLADESH CO LTD,160380000000.0,296.5,-0.16835016835016833,9893.0,0.018018205071324293,9.671337612859455,30.6576,10.1010101010101,Consumer non-durables
DSEBD:ROBI,ROBI,ROBI AXIATA PLC,142471784465.0,27.0,-0.7352941176470562,295706.0,0.060287114564539224,19.5993031358885,1.3776,5.51470588235294,Communications
DSEBD:BRACBANK,BRACBANK,BRAC BANK LTD,135781157180.99998,66.8,-2.052785923753674,217154.0,0.05835749219135241,9.391915641476274,7.1125,1.62919501466276,Finance
DSEBD:WALTONHIL,WALTONHIL,WALTON HI-TECH INDUSTRIES PLC ,135318095287.0,450.0,0.7387508394895929,3422.0,0.11898801079306795,10.562091012364688,42.6052,7.83523617640475,Consumer durables
DSEBD:BEXIMCO,BEXIMCO,BEXIMCO LTD,103850264528.0,110.1,0.0,500.0,8.532423208191092,,-4.1965,0.0,Process industries
DSEBD:MARICO,MARICO,MARICO BANGLADESH LTD,92339096924.0,2902.0,-1.0029337517909562,1589.0,0.1632741135006833,15.477779093371224,187.4946,13.0995428805349,Consumer non-durables
DSEBD:UPGDCL,UPGDCL,UNITED POWER GENERATION AND DISTRIBUTION COMPANY LTD ,80403729609.0,137.8,-0.648882480173019,25537.0,0.1870835637964692,6.851869347083481,20.1113,4.32588320115357,Utilities
DSEBD:BERGERPBL,BERGERPBL,BERGER PAINTS BANGLADESH LTD,76129020809.0,1535.5,-0.9546539379474911,100.0,0.007440753004204026,21.229411756573096,72.3289,3.38644133393537,Process industries
