symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:GP,GP,GRAMEENPHONE LTD,427369965454.0,315.3,-0.37914691943127604,154839.0,0.9395861158324682,14.458328556689212,21.8075,10.4265402843602,Communications
DSEBD:SQURPHARMA,SQURPHARMA,SQUARE PHARMACEUTICALS PLC,198742308977.0,227.0,0.4424778761061947,5808.0,0.008222000817103796,8.561546962159472,26.5139,4.90633363068689,Health technology
DSEBD:BATBC,BATBC,BRITISH AMERICAN TOBACCO BANGLADESH CO LTD,157194003296.0,289.0,0.1386001386001307,2349.0,0.006939813880632265,9.426700067846147,30.6576,10.3057368601855,Consumer non-durables
DSEBD:ROBI,ROBI,ROBI AXIATA PLC,140376603230.0,26.8,0.0,88746.0,0.022117782262289293,16.106737183724984,1.6639,5.59701492537313,Communications
DSEBD:WALTONHIL,WALTONHIL,WALTON HI-TECH INDUSTRIES PLC ,136196585637.99998,449.0,0.2008480249944158,30.0,0.0015300111690815343,10.538619699003876,42.6052,7.7846975088968,Consumer durables
DSEBD:BRACBANK,BRACBANK,BRAC BANK LTD,135980261946.99998,68.6,-0.29069767441860883,78828.0,0.025882117311382947,9.644991212653778,7.1125,1.62680966325037,Finance
DSEBD:BEXIMCO,BEXIMCO,BEXIMCO LTD,103850264528.0,110.1,0.0,1000.0,5.931198102016608,,-4.1965,0.0,Process industries
DSEBD:MARICO,MARICO,MARICO BANGLADESH LTD,89778153076.0,2939.9,2.926863424710286,35.0,0.003727528329215302,15.67991824831222,187.4946,13.4732114662643,Consumer non-durables
DSEBD:UPGDCL,UPGDCL,UNITED POWER GENERATION AND DISTRIBUTION COMPANY LTD ,79997944702.0,137.0,0.07304601899196078,700.0,0.005326389750199919,6.812090715170078,20.1113,4.34782608695652,Utilities
DSEBD:BERGERPBL,BERGERPBL,BERGER PAINTS BANGLADESH LTD,76016074631.0,1553.1,0.3294573643410794,13238.0,1.309577983103496,21.47274464287442,72.3289,3.39147286821705,Process industries
DSEBD:ISLAMIBANK,ISLAMIBANK,ISLAMI BANK BANGLADESH PLC,73415568930.0,45.4,0.0,5088.0,0.004819932238649169,,,2.19298245614035,Finance
DSEBD:LHB,LHB,LAFARGEHOLCIM BANGLADESH PLC ,65153053550.0,55.8,0.5405405405405355,33746.0,0.026339118531652855,17.295889901432023,3.2262,6.77361853832442,Non-energy minerals
DSEBD:RENATA,RENATA,RENATA PLC,56705946456.0,492.8,0.06091370558375866,685.0,0.00856841220442105,20.087229446052255,24.533,1.86084142394822,Health technology
DSEBD:BXPHARMA,BXPHARMA,BEXIMCO PHARMACEUTICALS LTD ,50633722336.0,110.4,-0.09049773755655593,52102.0,0.045938642084705585,7.751720264007864,14.242,3.52422907488987,Health technology
DSEBD:UNILEVERCL,UNILEVERCL,UNILEVER CONSUMER CARE LTD,47858133320.0,2484.1,0.044301248489726504,69.0,0.15161502966380966,,,2.09424083769634,Health technology
DSEBD:ICB,ICB,INVESTMENT CORPORATION OF BANGLADESH I.C.B.,42408962078.0,48.5,-0.817995910020447,156459.0,0.7905259562565431,200.49607275733774,0.2419,0.408997955010225,Finance
