symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:GP,GP,GRAMEENPHONE LTD,426289741898.0,314.9,-0.4111321948134129,5921.0,0.03385682468614821,14.43998624326493,21.8075,10.4529616724739,Communications
DSEBD:SQURPHARMA,SQURPHARMA,SQUARE PHARMACEUTICALS PLC,203529152432.0,225.7,0.044326241134749256,43383.0,0.06081140181193668,8.512516076473094,26.5139,4.79094076655052,Health technology
DSEBD:BATBC,BATBC,BRITISH AMERICAN TOBACCO BANGLADESH CO LTD,160380000000.0,294.9,0.16983695652173914,9708.0,0.020342426657882665,9.619148269923281,30.6576,10.1010101010101,Consumer non-durables
DSEBD:ROBI,ROBI,ROBI AXIATA PLC,142471784465.0,26.9,0.7490636704119823,137740.0,0.029633234401702437,19.5267131242741,1.3776,5.51470588235294,Communications
DSEBD:BRACBANK,BRACBANK,BRAC BANK LTD,135781157180.99998,67.3,0.44776119402984654,106839.0,0.03127932738862455,9.462214411247803,7.1125,1.62919501466276,Finance
DSEBD:WALTONHIL,WALTONHIL,WALTON HI-TECH INDUSTRIES PLC ,135318095287.0,448.1,0.13407821229050787,1323.0,0.05545588679118742,10.517495516979148,42.6052,7.83523617640475,Consumer durables
DSEBD:BEXIMCO,BEXIMCO,BEXIMCO LTD,103850264528.0,110.1,0.0,1.0,0.00922509225092251,,-4.1965,0.0,Process industries
DSEBD:MARICO,MARICO,MARICO BANGLADESH LTD,92339096924.0,2853.0,-0.7824726134585289,521.0,0.053149706707472585,15.216438233421123,187.4946,13.0995428805349,Consumer non-durables
DSEBD:UPGDCL,UPGDCL,UNITED POWER GENERATION AND DISTRIBUTION COMPANY LTD ,80403729609.0,138.9,0.7982583454281525,3085.0,0.022696122825384003,6.906564965964408,20.1113,4.32588320115357,Utilities
DSEBD:BERGERPBL,BERGERPBL,BERGER PAINTS BANGLADESH LTD,76129020809.0,1552.0,-0.045082759064857696,11.0,0.0009337464453970545,21.45753633748059,72.3289,3.38644133393537,Process industries
DSEBD:ISLAMIBANK,ISLAMIBANK,ISLAMI BANK BANGLADESH PLC,73093575723.0,46.1,2.2172949002217295,114579.0,0.10053400712237627,,,2.20264317180617,Finance
DSEBD:LHB,LHB,LAFARGEHOLCIM BANGLADESH PLC ,66778978271.0,57.5,1.5901060070671353,60083.0,0.04354163671275285,17.822825615274937,3.2262,6.60869565217391,Non-energy minerals
DSEBD:RENATA,RENATA,RENATA PLC,57417066125.0,497.0,0.44462409054163066,3155.0,0.035356835075773446,20.258427424285657,24.533,1.83779464642429,Health technology
DSEBD:BXPHARMA,BXPHARMA,BEXIMCO PHARMACEUTICALS LTD ,52061279666.0,114.5,1.597160603371781,121862.0,0.09995259998397325,8.039601179609605,14.242,3.42759211653813,Health technology
DSEBD:UNILEVERCL,UNILEVERCL,UNILEVER CONSUMER CARE LTD,48334208050.0,2501.8,-0.23527535191608392,263.0,0.5047984644913613,,,2.07361327112494,Health technology
DSEBD:DUTCHBANGL,DUTCHBANGL,DUTCH-BANGLA BANK PLC,43018199432.0,43.8,0.45871559633026543,5540.0,0.011545481486174389,11.284588035245013,3.8814,1.85718202247191,Finance
DSEBD:ICB,ICB,INVESTMENT CORPORATION OF BANGLADESH I.C.B.,41628427734.0,48.2,1.2605042016806753,5246.0,0.025148477165269023,199.2558908639934,0.2419,0.416666666666667,Finance
DSEBD:EBL,EBL,EASTERN BANK PLC,40852822484.0,25.5,0.0,37970.0,0.012667025337753704,5.903051067179036,4.3198,5.817821484375,Finance
DSEBD:PUBALIBANK,PUBALIBANK,PUBALI BANK PLC,39043044434.0,30.0,0.0,188234.0,0.0954948474057945,4.2146078307413495,7.1181,3.29218,Finance
DSEBD:CITYBANK,CITYBANK,CITY BANK PLC,36357209234.0,24.0,1.2658227848101298,747875.0,0.05056202731476493,3.5881948389797564,6.6886,4.649,Finance
