symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:GP,GP,GRAMEENPHONE LTD,425749588912.0,303.9,-3.615604186489069,60913.0,0.36528023727953685,13.935572624097212,21.8075,10.4662226450999,Communications
DSEBD:SQURPHARMA,SQURPHARMA,SQUARE PHARMACEUTICALS PLC,200337923462.0,225.0,-0.13315579227696908,4640.0,0.00658872938199848,8.486114830334278,26.5139,4.86725663716814,Health technology
DSEBD:BATBC,BATBC,BRITISH AMERICAN TOBACCO BANGLADESH CO LTD,155844003296.0,293.4,0.9635237439779608,12649.0,0.04094082660399594,9.57022076092062,30.6576,10.3950103950104,Consumer non-durables
DSEBD:ROBI,ROBI,ROBI AXIATA PLC,140376603230.0,26.9,0.37313432835820104,106248.0,0.03177099715951473,16.1668369493359,1.6639,5.59701492537313,Communications
DSEBD:BRACBANK,BRACBANK,BRAC BANK LTD,136975725020.99998,69.3,1.167883211678828,26369.0,0.008837059818473141,9.743409490333919,7.1125,1.61498691860465,Finance
DSEBD:WALTONHIL,WALTONHIL,WALTON HI-TECH INDUSTRIES PLC ,135742193120.99998,450.0,0.874243443174171,37.0,0.002103742956725439,10.562091012364688,42.6052,7.81075652756081,Consumer durables
DSEBD:BEXIMCO,BEXIMCO,BEXIMCO LTD,103850264528.0,110.1,0.0,1500.0,8.896797153024911,,-4.1965,0.0,Process industries
DSEBD:MARICO,MARICO,MARICO BANGLADESH LTD,89973451538.0,2960.0,2.567656536955539,12.0,0.0013176387912860153,15.787121335761137,187.4946,13.4439659699611,Consumer non-durables
DSEBD:UPGDCL,UPGDCL,UNITED POWER GENERATION AND DISTRIBUTION COMPANY LTD ,79360276387.0,138.1,1.3950073421439102,620.0,0.0048773810666360275,6.866786334051006,20.1113,4.3827611395179,Utilities
DSEBD:BERGERPBL,BERGERPBL,BERGER PAINTS BANGLADESH LTD,76266513988.0,1585.4,2.2640779204025114,1191.0,0.12022773616522985,21.919315792166064,72.3289,3.38033610198957,Process industries
DSEBD:ISLAMIBANK,ISLAMIBANK,ISLAMI BANK BANGLADESH PLC,73093575723.0,44.9,0.6726457399103075,9408.0,0.009025785945158949,,,2.20264317180617,Finance
DSEBD:LHB,LHB,LAFARGEHOLCIM BANGLADESH PLC ,64456231201.0,54.9,0.5494505494505442,8430.0,0.006679504838718825,17.016923935279895,3.2262,6.84684684684685,Non-energy minerals
DSEBD:RENATA,RENATA,RENATA PLC,56488023815.0,493.7,0.6934529879665464,1501.0,0.020086878089645557,20.123914727102267,24.533,1.86802030456853,Health technology
DSEBD:BXPHARMA,BXPHARMA,BEXIMCO PHARMACEUTICALS LTD ,49295386063.0,114.3,1.5999999999999976,32576.0,0.029038428316461164,8.025558208116836,14.242,3.61990950226244,Health technology
DSEBD:UNILEVERCL,UNILEVERCL,UNILEVER CONSUMER CARE LTD,47879336953.0,2473.8,-0.4146370919045017,183.0,0.44547224926971607,,,2.09331347369269,Health technology
DSEBD:ICB,ICB,INVESTMENT CORPORATION OF BANGLADESH I.C.B.,42062057190.0,51.4,3.6290322580645102,195405.0,0.9424157249181074,212.4844977263332,0.2419,0.412371134020619,Finance
DSEBD:DUTCHBANGL,DUTCHBANGL,DUTCH-BANGLA BANK PLC,42051498322.0,43.0,0.7025761124121713,450.0,0.0011761056111475993,11.078476838254238,3.8814,1.89987586206897,Finance
DSEBD:EBL,EBL,EASTERN BANK PLC,40374076651.0,25.4,0.7936507936507908,120.0,5.7022184623483226e-05,5.879901847307746,4.3198,5.88680750988142,Finance
DSEBD:PUBALIBANK,PUBALIBANK,PUBALI BANK PLC,37351180168.0,29.2,2.0979020979020904,101525.0,0.05161010566791051,4.102218288588246,7.1181,3.4413031358885,Finance
DSEBD:CITYBANK,CITYBANK,CITY BANK PLC,35596598150.0,23.4,1.2987012987012863,299537.0,0.027678649271344457,3.2509030286190606,7.198,4.74833760683761,Finance
DSEBD:OLYMPIC,OLYMPIC,OLYMPIC INDUSTRIES PLC.,32570041239.0,168.4,1.1411411411411447,27060.0,0.05505490943914998,18.18456687471654,9.2606,0.613873542050338,Consumer non-durables
DSEBD:PRIMEBANK,PRIMEBANK,PRIME BANK PLC,31800181344.0,27.4,0.0,39450.0,0.01769236489020374,3.826441549010571,7.1607,6.23108394160584,Finance
DSEBD:MJLBD,MJLBD,MJL BANGLADESH PLC,30408196289.0,98.3,0.408580183861074,20200.0,0.0353126110074653,9.593238864816332,10.2468,5.41666666666667,Process industries
DSEBD:POWERGRID,POWERGRID,POWER GRID COMPANY OF BANGLADESH LTD,29881489821.0,33.2,2.1538461538461626,1351.0,0.004765210226543244,,-7.6473,0.0,Utilities
DSEBD:BSCPLC,BSCPLC,BANGLADESH SUBMARINE CABLES PLC,27831381284.0,154.9,1.6404199475065617,42754.0,0.0794115145024363,19.670840423640566,7.8746,2.68817204301075,Communications
DSEBD:BSRMLTD,BSRMLTD,BANGLADESH STEEL RE-ROLLING MILLS LTD,25469269445.0,87.3,0.6920415224913429,14432.0,0.07358283447890127,4.954934501782187,17.6188,4.1031652989449,Non-energy minerals
DSEBD:BEACONPHAR,BEACONPHAR,BEACON PHARMACEUTICALS PLC,24647699295.0,111.6,2.010968921389386,25837.0,0.1687703353001541,,,1.87441424554827,Health technology
DSEBD:BSRMSTEEL,BSRMSTEEL,BSRM STEELS LTD,24098555615.0,65.5,2.184087363494549,107329.0,0.6272195850015223,5.554895941109622,11.7914,4.99219968798752,Non-energy minerals
DSEBD:BANKASIA,BANKASIA,BANK ASIA PLC,23084956055.0,18.1,0.0,24000.0,0.005307254311220887,8.019139603916532,2.2571,5.05050555555561,Finance
