symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:TAMIJTEX,TAMIJTEX,TAMIJUDDIN TEXTILE MILLS PLC,3929469360.0,130.7,3.238546603475509,115769.0,2.4004221561480117,19.35694080360184,6.7521,1.60673297628156,Consumer non-durables
DSEBD:FEKDIL,FEKDIL,FAR EAST KNITTING & DYEING INDUSTRIES PLC.,3784273994.0,17.3,0.0,3438942.0,1.2212172804840007,,,8.09248554913295,Consumer non-durables
DSEBD:AFTABAUTO,AFTABAUTO,AFTAB AUTOMOBILES LTD,3746847164.0,35.5,1.1396011396011354,362624.0,0.8766036058271731,,-1.0279,2.8169014084507,Consumer durables
DSEBD:MONOSPOOL,MONOSPOOL,MONOSPOOL BANGLADESH PLC,3656067041.6,107.2,-2.6339691189827352,427861.0,1.38526057187111,28.736094357324756,3.7305,1.11940298507463,Process industries
DSEBD:INDEXAGRO,INDEXAGRO,INDEX AGRO INDUSTRIES LTD,3600727746.0,76.2,-1.1673151750972655,173141.0,1.3225805219556723,13.659830775849706,5.5784,3.28083989501312,Process industries
DSEBD:CITYGENINS,CITYGENINS,CITY INSURANCE PLC,3517371420.0,51.6,-1.9011406844106464,186310.0,0.6584934915847777,16.51305683563748,3.1248,1.93798449612403,Finance
DSEBD:MIRAKHTER,MIRAKHTER,MIR AKHTER HOSSAIN LTD,3478233600.0,28.8,-2.702702702702705,925633.0,1.149068010707204,14.595580782485303,1.9732,3.47222222222222,Industrial services
DSEBD:APEXFOOT,APEXFOOT,APEX FOOTWEAR LTD,3446358122.0,219.2,-0.31832651205094,42299.0,0.8487162612261931,18.764392168948014,11.6817,1.45155930656934,Consumer non-durables
DSEBD:BBSCABLES,BBSCABLES,BBS CABLES PLC,3429698315.0,16.2,-1.8181818181818226,388137.0,0.640355582069971,,-1.7861,0.617283950617284,Producer manufacturing
DSEBD:RUNNERAUTO,RUNNERAUTO,RUNNER AUTOMOBILES PLC,3428906041.0,30.2,2.0270270270270196,999199.0,3.720020521190592,9.766509281417761,3.0922,3.64238410596027,Consumer durables
DSEBD:FARCHEM,FARCHEM,FAR CHEMICALS INDUSTRIES LTD,3383450843.0,22.1,-4.7413793103448185,341462.0,1.0542233677092652,68.44224218024156,0.3229,0.452488687782805,Process industries
DSEBD:EPGL,EPGL,ENERGYPAC POWER GENERATION PLC,3289819900.0,17.3,-2.8089887640449436,236926.0,0.35656452191585214,,-6.4062,0.0,Utilities
DSEBD:ECABLES,ECABLES,EASTERN CABLES LTD,3281520033.0,124.3,-0.3207698476343269,53829.0,2.2068843936797395,,,0.160901045856798,Producer manufacturing
DSEBD:MONNOCERA,MONNOCERA,MONNO CERAMIC INDUSTRIES LTD,3278243087.0,86.9,-0.9122006841505098,181639.0,0.7076617152670557,102.2834274952919,0.8496,0.115074798619102,Consumer durables
DSEBD:AMANFEED,AMANFEED,AMAN FEED LTD,3261162859.0,24.9,-1.581027667984198,443139.0,1.4922374115545851,55.10068599247621,0.4519,4.01606425702811,Consumer non-durables
DSEBD:RAHIMAFOOD,RAHIMAFOOD,RAHIMA FOOD CORPORATION LTD,3234032014.0,161.7,1.379310344827579,530366.0,0.9031327979805582,326.73267326732673,0.4949,0.618429189857761,Process industries
DSEBD:QUASEMIND,QUASEMIND,QUASEM INDUSTRIES LTD,3119966850.0,42.9,-2.054794520547942,696585.0,0.8338116342329783,105.12129380053908,0.4081,0.34965034965035,Producer manufacturing
DSEBD:ESQUIRENIT,ESQUIRENIT,ESQUIRE KNIT COMPOSITE PLC,3062139200.0,22.7,-1.3043478260869596,246313.0,0.6415532113343941,8.926815840182469,2.5429,4.40528634361234,Process industries
DSEBD:KDSALTD,KDSALTD,KDS ACCESSORIES LTD,3027029858.0,40.5,-1.2195121951219512,291539.0,0.612441765419757,18.28029790115098,2.2155,1.17577777777778,Consumer services
DSEBD:UNIONBANK,UNIONBANK,UNION BANK PLC,3005213246.0,2.9,0.0,106554.0,0.10284103746738141,,,17.2413793103448,Finance
DSEBD:GIB,GIB,GLOBAL ISLAMI BANK PLC,2962319064.0,3.0,0.0,512428.0,0.3814469403470883,,-12.6784,15.873,Finance
DSEBD:NHFIL,NHFIL,NATIONAL HOUSING FINANCE PLC,2925780106.0,25.0,-0.7936507936507908,333181.0,0.48766804247052203,,-0.1233,4.0,Finance
DSEBD:SPCERAMICS,SPCERAMICS,SHINEPUKUR CERAMICS LTD,2924624323.0,19.9,-1.970443349753705,1866553.0,0.805023775021717,,-1.1739,1.00502512562814,Consumer durables
DSEBD:POPULARLIF,POPULARLIF,POPULAR LIFE INSURANCE CO LTD,2912646997.0,48.2,-1.8329938900203637,642046.0,0.975675063304163,,,4.149377593361,Finance
DSEBD:NTLTUBES,NTLTUBES,NATIONAL TUBES LTD,2844941284.0,81.7,-0.9696969696969662,273066.0,0.7101874259587475,42.734595669003035,1.9118,0.489596083231334,Producer manufacturing
DSEBD:GENEXIL,GENEXIL,GENEX INFOSYS PLC,2830575466.0,23.5,-0.8438818565400814,242426.0,0.849698974547165,10.751704259504963,2.1857,1.27659574468085,Commercial services
DSEBD:DAFODILCOM,DAFODILCOM,DAFFODIL COMPUTERS PLC.,2780113242.0,55.7,2.957486136783736,191350.0,2.062027867280192,583.8574423480085,0.0954,0.897666068222621,Distribution services
DSEBD:SHEPHERD,SHEPHERD,SHEPHERD INDUSTRIES PLC,2757431629.0,17.9,-2.1857923497267873,496947.0,0.45042151986434803,134.89073097211752,0.1327,0.558659217877095,Process industries
DSEBD:FORTUNE,FORTUNE,FORTUNE SHOES LTD.,2696463772.0,15.8,-0.6289308176100606,237673.0,0.7509318204724679,,-0.4454,0.632911392405063,Consumer non-durables
DSEBD:GHAIL,GHAIL,GOLDEN HARVEST AGRO INDUSTRIES LTD,2676386545.0,12.4,-2.3622047244094406,760127.0,0.39650704360535777,,-0.9618,0.806451612903226,Consumer non-durables
DSEBD:RUPALILIFE,RUPALILIFE,RUPALI LIFE INSURANCE COMPANY LTD,2662262851.0,88.7,2.9002320185614847,644736.0,2.338713246309663,,,1.35287485907554,Finance
DSEBD:SAIFPOWER,SAIFPOWER,SAIF POWERTEC LTD,2655370575.0,7.0,0.0,440762.0,0.7612903671539162,,,1.42857142857143,Producer manufacturing
DSEBD:LEGACYFOOT,LEGACYFOOT,LEGACY FOOTWEAR LTD,2623572000.0,60.9,3.0456852791878126,565898.0,1.8497194849139103,543.264942016057,0.1121,0.164203612479475,Consumer non-durables
DSEBD:SHASHADNIM,SHASHADNIM,SHASHA DENIMS PLC,2623267867.0,18.6,0.5405405405405482,782649.0,1.5846683520683424,8.649553571428573,2.1504,5.37634408602151,Process industries
DSEBD:BARKAPOWER,BARKAPOWER,BARAKA POWER LTD,2566575522.0,10.9,-2.678571428571419,3015049.0,1.6626776837263424,48.08116453462726,0.2267,3.21100917431193,Utilities
DSEBD:BPPL,BPPL,BARAKA PATENGA POWER LTD,2491134895.0,14.4,-2.702702702702705,1676824.0,0.8030700899465857,,,1.38888888888889,Utilities
DSEBD:MEGHNALIFE,MEGHNALIFE,MEGHNA LIFE INSURANCE PLC,2476464915.0,58.4,0.5163511187607525,748540.0,1.0592876448376392,,,2.56849315068493,Finance
DSEBD:UNITEDFIN,UNITEDFIN,UNITED FINANCE PLC,2451201446.0,13.1,-1.5037593984962485,437299.0,0.4584844187808145,11.616564689190389,1.1277,7.63358778625954,Finance
DSEBD:ARGONDENIM,ARGONDENIM,ARGON DENIMS LTD,2444439604.0,17.6,-1.1235955056179736,431496.0,0.3750890899176422,11.016524787180773,1.5976,5.68181818181818,Consumer non-durables
DSEBD:SANDHANINS,SANDHANINS,SANDHANI LIFE INSURANCE CO LTD,2424339793.0,22.1,-1.7777777777777715,546430.0,0.6575642025528348,,,5.42986425339366,Finance
DSEBD:HWAWELLTEX,HWAWELLTEX,HWA WELL TEXTILES (BD)PLC,2413599915.0,43.1,-0.46189376443417035,18625.0,0.9331209074193758,11.96026196026196,3.6036,4.64037122969838,Process industries
DSEBD:ACTIVEFINE,ACTIVEFINE,ACTIVE FINE CHEMICALS LTD,2375372095.0,9.9,5.319148936170213,2299776.0,6.212660636557206,,,0.0,Health technology
DSEBD:AMBEEPHA,AMBEEPHA,AMBEE PHARMACEUTICALS PLC,2337984058.0,811.8,-0.8185705558949353,10004.0,1.6953920721270275,193.2949188056574,4.1998,0.123183050012318,Health technology
